y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
44.6,717,28,4.14,8.7174087,65,420,27.5,43,69,6.44,68,30.3,444.76575,129432,9,9,0.406,9.3
75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,547.8517,39113313,6,5.8,0.741,14.4
81.2,7,2,8.4,8649.674911,56,99,64.1,2,88,11.2,89,0.1,47447.4762,345274,0.5,0.4,0.898,15.9
59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9
81.4,62,0,7.3,682.1070608,92.9626012022595,3,56.9,0,98,9.94,98,0.1,4627.592,9298515,1.3,1.3,0.898,15.8
62.2,263,1,0.52,217.2125786,81,709,33.2,2,81,8.95,81,1.9,1536.15685,881185,5.6,5.5,0.46,6.3
71.9,123,5,0.01,285.6103912,88,0,49.7,6,92,5.37,89,0.1,7496.335728,9295784,2.8,2.8,0.742,11.8
82.3,57,0,10.01,2198.590865,91.4711933478036,77,55.4,0,96,11.7,95,0.1,74276.71842,782499,0.5,0.4,0.92,15.4
69.3,198,9,3.93,0,95,0,49.9,11,95,5.49,95,0.2,92.6737581503716,5.49986558862762,1.2,1.1,0.649,13.8
89,71,0,9.62,6664.148708,9,43,64.8,0,93,11.2,93,0.1,33691.34837,11244.6824129357,0.3,0.3,0.899,20.3
56,344,48,4.56,23.1016899,60.1792534465998,4174,12.5,93,62,4.85,62,3.6,235.4912324,11944587,11.2,1.8,0,3.5
66.5,188,182,0.06,33.95837125,62,3825,16,229,77,2.23,76,0.1,747.9817455,2145652,11,11.1,0.604,10.6
63,242,39,0.04,0,78,8079,34.5,51,78,4.82,78,0.1,101.215875211551,4065.09809586341,13.9,13.8,0.475,8.7
68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,145.2163,8365,3,3,0.668,11
65.1,21,0,0.46,167.6201552,83,0,74.1,0,74,12.23,82,0.1,1413.3234,9844,0.2,0.1,0.572,11.6
69.8,172,54,0.24,0,97,668,55.5,65,97,4.82,97,0.1,85.0818925417616,366.50736818705,3.1,3,0.651,11.9
62.4,249,37,3.01248671794872,0,88,23,28.6,52,88,6.15023344003807,88,0.7,1361.11395,27582821,6.2,6.1,0.575,11.4
77.5,14,0,11.14,2503.714258,89.6894892192495,0,54.1,0,95,8.5,95,0.1,18169.1891,2474,1.9,2,0.853,16.3
81.1,72,2,9.34,0,99,42,3,2,98,6.83,99,0.1,54.0823048693751,22.0004887686268,1.5,1,5.60927099314202,6.02544161557318
61.8,251,64,2.01,128.6362711,78,129,25.0610504940134,95,85,8.17,86,0.3,1291.528826,32955496,4.51348289498513,4.51878687349158,0.444,6.3
78.5,9,3,11.92,582.6157028,9,779,56.6,4,96,1.62,97,0.1,3359.95215,82534176,1.1,1.1,0.872,16.3
75.3,125,8,0.01,973.728675,88,0,54.9,10,78,5.47,88,0.1,6491.5245,3973354,1.1,1.1,0.735,13.4
69.4,173,0,1.2,27.29839073,64,165,43.3,0,67,4.2,69,0.1,158.52724,198964,1.6,1.6,0,10.4
72.3,178,7,6.2,352.9551269,84,0,49.3,8,88,4.34,89,1.8,3836.468771,9371338,3.5,3.4,0.677,12.6
77.5,8,0,5.59,134.3547253,88.9929469781495,2,62.3,0,94,6.83,94,0.1,1139.5651,3987,0.8,0.7,0.779,13.8
74.1,126,20,0.46,43.08717334,91,217,51.8,23,92,4.2,93,0.1,495.254866,3486715,6,5.9,0.697,12.6
77,174,3,0.01,0,97,1,43,4,97,6.68,97,0.1,85.7145336786204,2.49996334235299,3.3,3.3,0.647,12.5
62,329,6,1.23,11.42385961,91,55,14.7,9,91,3.29,91,1.3,317.3294336,4153332,9.2,9.2,0.405,5.3
53.1,356,46,3.90658085967863,0,46,418,19.1,77,52,8.45023344003807,46,2.8,777.248751,149413,8.5,8.4,0.394,7.3
72.7,135,24,0.02,0,99,127,51.4,28,99,6.28,99,0.1,74.0105006804281,77.5012097023514,7.6,7.8,0.716,12.1
58.6,33,22,0.01,40.15128458,96,0,17.6,32,96,8.3,96,1,282.7555252,96186,7.4,7.4,0.398,10.5
64.9,321,19,11.5,46.51559476,96,2444,55,21,98,5.19,97,0.3,412.372294,1446754,2.5,2.8,0.741,13.6
80,8,0,11.53,18961.3486,94,1,58.4,0,96,7.34,99,0.1,114293.8433,48865,0.9,0.9,0.887,13.5
82.3,64,1,1.5,0,98,7,31.7,2,98,1.25116720019037,98,0.1,51.2355057366625,4.50006109607835,1.5,1,0.1,1
69.2,184,16,0.01,0.442802404,99,8,43.9,18,99,5.84,99,0.1,25.448414,37577,3,3.1,0.69,12.1
54,429,82,1.54,46.58195631,76,9396,18.1,120,69,5.91,83,15.9,336.3318145,231275,3.9,3.8,0.332,7
81.3,61,0,6.21,2094.19096,90.8426287030696,4,59.8,0,95,9.16,95,0.1,11563.727,518573,0.7,0.7,0.941,17.6
74,125,0,0.484467852015954,0,59,0,74.7,0,61,0.150233440038075,66,0.1,4149.363444,193759,0.2,0.1,0.702,12.9
81,78,4,10.79,0,89.3585068931997,1212,63.1,4,93,9.81,93,0.1,54.0828207682875,608.01476081253,0.8,0.5,7.12046111819574,7.5283847645634
76.9,115,1,3.92,49.34007756,98,0,49.4,1,98,6.7,95,0.1,2741.11542,914.03026631065,3.6,3.4,0.679,12.1
44,67,46,1.1,3.885394742,64,92,14.8,75,79,4.82,64,24.7,29.9798977,1213711,7.7,7.6,0.388,10.4
74.2,113,0,8.47,1641.30981,93,0,48.4,0,93,5.64,93,0.1,16462.48556,5487.44593718604,3.9,3.9,0.771,15
48.2,375,87,6.35,184.8213446,73,1014,18.8,138,75,3.38,73,2.6,2878.837144,2997687,9.6,9.6,0.454,7.7
45.7,44,97,2.58,30.35993647,41.3119454010321,9046,15.8,159,41,5.38,38,2.1,526.168743,16983266,1.7,1.7,0.391,5.1
82,68,1,9.53,9689.732784,92.4481336164996,10,57.3,1,97,9.36,97,0.1,51241.31562,16381696,1,1,0.899,16.6
66.6,177,16,2.53,0,75.0997535809631,0,25.7,21,98,4.61085041259072,62,0.1,75.5952848992015,10.4997433964709,5.9,6,1.38633361082482,4.12410019802623
79.2,77,1,9.56,5170.130703,92.2949941326795,11,55,1,98,8.52,98,0.1,39954.64222,16281779,1,1,0.885,16.5
61.9,261,35,0.71,55.43034455,84,0,16.7,51,83,4.98,84,0.6,377.8482928,19433523,7.9,7.8,0.483,9.1
69.3,163,10,0.01,1.0419164,96,1,39,11,97,6.75,96,0.2,14.214412,817789,3.6,3.7,0.617,11.2
68,247,1,12.98,24.24947846,7,21,54.4,1,99,6.13,99,0.1,1276.28834,997961,2.7,2.8,0.675,13.1
75,153,0,1.18,345.339056,61,0,47.4,0,66,3.66,67,0.1,2697.961375,22534,1.5,1.5,0.582,10.7
73.9,154,0,0.01,915.1859205,98,0,31.8,0,98,4.76,98,0.1,9291.227619,1255882,7.1,7,0.756,14.3
73.6,157,6,6.05,587.8828228,8,0,52.6,8,85,4.41,82,1.2,4952.67753,9767758,3.4,3.3,0.695,12.9
69.6,237,14,10.99,178.8225911,97,2123,58.7,16,98,6.88,97,0.3,15154.45687,14321676,2.3,2.4,0.792,14.3
73.5,162,11,5.92,609.9511632,98,7790,25.7,13,99,3.92,99,0.3,4378.68746,6654576,8.5,8.6,0.7,12.9
81.6,61,2,7.25,5243.316638,96,351,6.5,2,96,9.41,96,0.1,36976.84512,5995365,0.5,0.5,0.868,16.3
72.6,134,1,2.86,57.17810403,91,40,47.8,1,96,5.4,94,0.1,783.261699,333897,2.1,2.1,0.645,10.8
54.3,369,27,0,0,54.3,0,25.7198650480512,42,54.3,0,54.3,4.2,1264.78998,967667,0,0,0,0
78.8,9,0,11.84,1346.246697,95,0,57,0,99,7.95,99,0.1,8289.69641,465158,1,0.9,0.874,13.5
73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,311487,1.8,1.8,0.685,10.8
52.4,527,29,5.21,53.30858081,9,9696,29.4,44,89,5.37,89,15.7,713.63562,1486317,7.1,7,0.436,10
77.8,97,0,12.14,1884.098811,95,0,63.1,0,95,7.8,95,0.1,13467.46827,4238389,1.5,1.5,0.82,15.1
72.2,11,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,153.1824,127185,5.7,5,0.592,9.6
73.7,121,0,7.65,13.5139917,91,0,45.4,0,9,5.82,89,0.4,1228.5447,409.511224662628,4.1,4.1,0.753,14.2
73.5,132,1,3.99,44.57219966,85,1,49.7,1,9,4.31,88,0.1,3138.8873,293356,2,2.1,0.707,11.7
48.6,438,33,5.72,0.388253772,68.0566927614053,896,13.7,54,76,4.38,77,8.1,21.569654,832946,7.4,7.5,0.332,7.1
67.7,158,2,0.01,3.379874844,82,4,16.6,2,82,1.29,82,0.1,117.765674,1184366,11.1,11.2,0.62,12.5
67.8,154,7,0.55,42.41491183,51,1978,43.6,8,79,6.56,77,0.1,883.6439965,82341,3,3,0.659,10.8
75.5,83,18,4.12191509028832,0,98,615,59.7,21,98,8.54976655996192,98,0.1,57.2455965368213,318.007258214109,8.5,8.6,0.774,14.8
67.8,146,7,0.55,39.33253687,5,4353,43.1,9,8,4.47,76,0.1,763.73858,817195,3.1,3.1,0.651,10.6
77.6,8,0,0.01,269.1432784,99,1,4.2,0,99,2.65,99,0.1,4159.8652,1386.94263157789,5.7,5.2,0.863,15
77.6,65,0,0.01,1259.940376,99,0,24.1,0,99,9.16,99,0.1,6541.7465,385,13.8,13.9,0.675,12.1
73.8,14,10,4.69,570.4532468,93,0,51.5,13,92,5.36,93,0.3,4166.93387,29157,1.2,1.2,0.706,13.3
64.4,178,367,0.03,3.912744517,75,2801,2.1,459,75,3.35,75,0.1,95.4327931,16332974,2.8,21.3,0.505,6.7
76.6,84,0,1.11,4064.743869,97,29,65,0,95,3.61,96,0.1,41818.35256,13948.9926950497,4.8,4.5,0.826,13.5
81.1,68,0,11.82,90.58501176,95,0,56.6,0,95,11.14,95,0.1,554.71532,8479375,1.8,2,0.887,15.7
49.3,554,34,2.33,121.879331,82,45,18.4,55,84,7.56,82,17,691.3178164,1252156,7.1,7,0.467,10.7
63.2,23,1,0.01,73.86584922,88,0,23.7,2,87,6.75,87,0.8,852.954379,759385,6.8,6.6,0.497,11.1
78.7,76,0,2.08,1003.366877,95,408,28.9,0,95,2.37,96,0.1,21577.7823,7328.53348143348,2.1,2,0.82,12.7
76,127,28,6.53750140446268,0,97,256,17.5,35,97,14.3492996798858,97,0.1,70.8474669624381,145.502700446663,14.2,14.5,0.678,12.6
62.5,237,2,0.01,78.39008571,89,1,22.6,2,85,7.11,86,0.8,788.632653,723868,6.9,6.7,0.484,10.8
58.7,271,13,3.13,0,55.0084876421321,94,12.7,19,55,4.32,52,0.1,102.167072478793,56.5009164411753,1.4,1.5,0.463,8
59,286,3,2.99,0,97,0,23.5,6,97,5.85,98,2.7,121.458671927992,2.99992668470597,8.4,8.3,0.434,8.9
68.7,197,0,6.2,325.6807462,97,0,43.2,0,97,4.39,97,0.8,3831.53819,27689,3.6,3.5,0.691,12.5
76.5,19,0,13.03,0,98,7,61.8,0,98,6.69,98,0.1,37.0010801573389,3.5000855345097,2,2.1,6.85900294294598,7.4930123281616
69,18,0,1.21,21.90075232,7,9,41.1,0,67,3.28,71,0.1,1469.849149,18563,1.7,1.7,0,9.6
69.2,231,5,8.71,324.5491348,66,0,58,6,74,7.8,71,0.3,2545.48341,46533,2.5,2.6,0.734,14.9
74.5,137,0,1.27213071706439,0,92,0,65.7,1,91,1.85023344003807,91,0.1,6993.47736,7177991,1.9,1.8,0.792,15
77.5,15,0,8.59,397.7533689,91.5003375261475,0,55.5,0,96,7.22,99,0.1,24253.2542,517629,0.9,0.9,0.847,17.3
74.2,136,29,2.86,0,94,217,1.9,36,96,5.9,96,0.2,73.3781174930254,126.502211678036,15.4,16.1,0.601,11
79.4,8,0,9.67,3632.243121,95,2,61.8,0,99,9.41,99,0.1,28827.32636,1148473,0.8,0.7,0.855,16.4
72.9,154,3,10.6,919.1673438,99,353,55,3,96,5.21,96,0.1,8214.185378,2882982,3.2,3.6,0.766,14.1
46.5,391,96,2.82,24.037942,41.3685901306143,11945,16.3,157,37,3.63,41,2.3,711.181716,17572649,1.5,1.5,0.401,5.5
73.1,13,391,2.96,122.9365349,75,71879,22.6,467,87,4.82,86,0.1,1288.642924,12884,5.3,4.7,0.61,9.9
81.1,66,0,10.15,10055.34981,90.0853949101896,60,53.2,0,94,1.86,94,0.1,54797.54663,7437115,0.6,0.4,0.899,15.2
52.6,378,24,5.72,11.22655347,83,2,13.8,38,76,7.1,83,4.8,127.4296648,7182451,8.4,8.4,0.279,5.2
73.2,152,3,5.65,359.9760397,89,0,46.4,3,85,9.1,89,0.1,3225.591754,629877,2.1,2,0.664,12.4
73,176,0,15.14,1807.071336,93,0,6.9,0,93,6.67,93,0.1,14341.836,2987773,2.7,2.7,0.83,16.5
67.5,18,0,3.15,0,89,0,62.8,0,88,9.69,92,0.1,34.7873520772454,0,0.2,0.2,0.612,10.4
73.5,133,0,0.450201459254701,0,78,0,75.2,0,8,0.1,78,0.1,493.775387,16364,0.1,0.1,0.718,14.3
71.8,162,1,9.99,0,92,2,52.7,1,92,1.32,9,0.1,54.0900433530608,1.50001221921567,2.7,2.8,3.98572788269923,4.58788120676532
66.6,16,9,0.65,35.09462644,72.8223901805058,210,42.1,11,75,4.67,76,0.1,655.974326,8486,3.2,3.1,0.636,10.1
61.7,31,2,8.64,52.31086276,79,0,33,3,74,3.43,76,8,763.66223,1586754,6.7,6.5,0.652,12.4
46.4,693,2,5.51,299.3671252,9,59,31.6,4,96,4.65,96,31.9,4163.6596,184339,1.9,1.8,0.567,11.8
56.3,295,237,2.09,0,65,12461,18.2,324,64,4.46,65,1.8,113.869815729704,6392.6483046206,1.8,1.7,2.79597222061899,2.90784025378504
68,242,1,8.36,0,98,34,48.7,1,98,1.63,97,0.1,107.22433233182,17.5004032341171,3.1,3.3,3.51708675771683,4.31244048578174
78.8,86,0,1.8,0,97,9,66.1,0,97,1.8,97,0.1,57.8783236568322,4.50010997294104,1.8,1.8,0.1,1.8
45.9,6,3,5.65,2.819124474,9,350,27.1,4,87,5.71,85,50.6,22.99449,187392,8.2,8.4,0.493,9.1
73,17,0,0.01,151.1045552,99,0,36.2,0,99,3.37,99,0.1,1557.77892,91359,5.7,6,0.766,13.2
48.1,41,567,9.75,30.19550849,39.0224327108321,141258,18.3,918,42,4.5,29,5.4,512.65719,131972533,13.5,13.6,0,8.1
82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,67792.3386,23117353,0.6,0.6,0.933,20.3
75.8,122,1,5.53,623.9100503,92,0,5.3,2,88,7.48,92,0.1,4916.54886,333465,2.1,2.1,0.74,12.9
81.5,65,0,1.32879761985641,0,93,309,57.6,0,93,1.99953311992385,93,0.1,43665.947,8633169,1.9,2.1,0.892,15.9
81,76,0,9.19,606.3106561,88,25,63.2,0,88,8.35,88,0.1,3259.73471,1094.90205916623,0.3,0.3,0.891,19.2
57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798,19.3,19.5,0.396,7.9
72.9,112,4,1.21,264.7842196,94,47,48.1,5,97,5.4,97,0.1,2213.91488,9699197,6.6,6.5,0.646,12.8
75.9,12,9,8.35,1133.558003,91,2,61,10,99,5.2,91,0.1,12969.7712,4296739,1,0.9,0.822,17.2
77.6,11,1,11.21,287.2084529,6,0,58.1,1,96,8.12,95,0.1,2327.4591,125125,0.8,0.8,0.869,18
73.4,135,3,0.46,297.5913833,96,1407,3.7,4,96,3.29,96,0.1,5593.822995,25659393,9,8.8,0.734,12.9
76.9,79,0,0.88,2218.364226,96,0,36.2,0,99,2.73,95,0.1,35268.1117,11755.9317245888,5.9,5.4,0.845,14.2
78.1,92,0,11.28,7627.412444,88.4784793923896,2,55,0,93,9.77,93,0.1,48799.8237,5419432,1.2,1,0.897,16.6
71,135,104,0.01,52.82986467,96,237,17,130,96,2.88,96,0.1,951.8894535,157571292,18.3,18.8,0.565,10
72.5,184,1,13.24,1030.220271,90.9583693891493,0,57.6,1,99,8.42,99,0.1,8396.25323,1129552,2.1,2.1,0.784,14.9
59.3,266,237,0.01,0,8,33711,21.1,312,79,4.33,8,1.1,86.6711478844423,17011.9081095842,9.7,9.5,1.80257832917838,4.35414693064626
76,229,0,12.7,116.504961,95,1,58.7,0,94,6.2,94,0.1,924.642548,326999,3,3,0.807,16.4
75.2,142,0,8.27,180.7762695,98,0,43.2,0,99,4.69,99,0.1,1473.31923,491.102002390553,3.4,3.3,0.786,14.4
74.5,128,1,5.91,180.3787034,96,7872,54.4,1,94,7.25,93,0.1,4274.376857,3776,2.7,2.8,0.755,13.5
61.1,262,3,3.41831715874644,0,97,71,27.3,5,96,7.25023344003808,97,1.7,113.550743700409,38.0008064682343,7.3,7.2,0.45,8.9
81.2,69,3,10.66,0,91.5088251682796,91,66.6,4,96,4.59984991711388,96,0.1,52.1846394082548,47.5010630717634,0.8,0.6,5.68999297543627,6.03848761033317
65.1,268,2,0.01,662.802194,95,1,37.3,2,96,5.41,95,2.3,7497.762376,2168573,6.7,6.4,0.697,12.6
72.5,169,10,8.05,0,53,115,54.1,12,87,5.21,7,0.1,55.671818161512,63.5012585792141,1.8,1.7,0.672,10.4
67,261,66,1.55,37.59039592,22,1374,25.1537904962575,101,78,3.18,78,0.2,679.7539949,3911914,1.87518280371136,1.877075512583,0.423,6.1
81,66,0,6.59,15268.06445,89.3585068931997,3,58.9,0,93,9.26,93,0.1,87646.75346,4889252,0.7,0.7,0.936,17.4
77.9,7,0,1.2,515.0734795,97,73,67.7,0,99,2.15,97,0.1,8834.87958,2969.26746660709,5.1,4.7,0.843,13.4
73.8,132,1,7.24,194.1732658,95,22,52,1,88,1.5,92,0.1,2964.47734,3926,2.6,2.8,0.738,13.3
51.1,344,48,0.01,0,18.2928604441913,8257,19,78,4,4.62862699170276,4,0.9,110.079213880827,4167.59994096497,7.7,7.5,0.428873698092966,3.45086757441397
63.3,219,1700,1.1,17.81205644,59.9797614774361,40044,12.2,2300,58,4.4,59,0.3,466.2842,18987112,27.4,28.4,0.499,8.4
72.6,122,0,5.07,4.409153436,9,0,28.2,0,9,4.6,9,0.3,367.429453,5867,7.3,7.2,0.632,13.1
48.2,472,64,3.08,0,67,3466,21.5,91,76,5.24,67,6.5,170.491025512265,1778.54123985289,7.3,7.3,4.87459880467974,5.1052200388866
69.6,181,0,7.22,51.25232422,94,0,45.7,0,94,5.9,94,0.1,447.22796,36165,3.5,3.4,0.699,12.8
71.4,189,11,1.93,582.1469583,85,0,49.3,13,84,6.3,85,0.4,3452.828934,15596214,1.2,1.2,0.611,10.7
78.8,91,1,12.05,5160.508378,64,61,59.8,1,96,9.32,95,0.1,35589.71295,1421137,0.8,0.8,0.88,18.8
73,189,0,17.87,1904.12469,95,1,56.3,0,95,5.16,95,0.1,16586.452,13468,2,2.1,0.829,16.1
68,22,0,1.76,253.8196705,99,305,53.2,0,95,3.35,94,0.1,2835.973972,816628,4.2,3.9,0.689,13.3
79.7,74,0,6.17,5809.12199,92.4467230121295,0,54.2,0,98,9.28,98,0.1,31813.37344,28125,1,0.9,0.847,16.8
76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,4074.91814786704,3.3,3.3,0.781,13.9
82.1,68,3,7.7,6746.281299,93.2213501029216,8752,23.8,4,97,8.3,99,0.1,37688.72234,127761,1.7,1.4,0.866,14.8
75.2,116,0,11.59,167.2319899,89.6880786148794,2,57.5,0,96,6.89,96,0.1,1224.2459,4442,1.8,1.8,0.777,13.6
83,64,3,7.09,899.1785285,93.4018051470676,741,26.4,4,99,9.51,97,0.1,4855.17564,12847,1.8,1.6,0.881,15
79,78,0,13.44,9126.931178,87.3585068931997,87,55.8,0,91,7.22,91,0.1,54326.9713,4273591,0.3,0.2,0.896,17.6
56.8,33,30,0.21,19.68510257,57,89,19.8,47,59,3.21,6,2.3,437.4467238,1323142,8.6,8.6,0.371,7.9
71.9,162,3,7.68,615.4030781,98,5043,53.9,4,97,5.47,97,0.1,4676.315183,21319685,3.3,3.8,0.745,13.4
78,161,53,0.21,0,94,1314,6.2,62,94,5.64,94,0.1,80.653662533206,688.01529845802,2.8,2.8,0.686,13.1
72.1,152,15,4.5,34.70333523,65,0,47.4,19,95,4.6,94,0.4,218.25997,26937738,1.3,1.3,0.686,13.3
74.6,19,0,8.46,327.1618128,93,0,49.9,0,93,6.21,93,0.1,16523.32388,5507.72519518098,3.8,3.8,0.779,15.5
73,22,7,6.32,293.0196601,79,0,46.1,8,65,5.53,79,2.3,2372.628827,896776,3.6,3.5,0.665,12.4
62.9,255,56,0.01,170.9626624,92,354,21.3,79,93,5.72,92,2.9,1335.6458,462425,7.8,7.7,0.546,11.1
45.5,648,5,1.99,5.300902041,17,1,26.4,7,9,7.13,9,33.8,63.636279,191897,1.2,1.1,0.44,10.5
52.1,437,76,1.66,32.73674134,84,766,15.1,118,83,4.54,84,15.7,395.8493511,332149,8.9,8.9,0.451,8.5
71.4,177,0,6.04,0,99,0,44.7,0,93,3.66,99,0.2,87.2959645544634,0,3.7,3.7,0.692,13.3
76.1,114,0,9.89,0,98,0,57.8,0,98,8,98,0.1,67.0515341581331,0,1.2,1.3,0.838,15
63.3,241,150,1.84,86.82551124,69,4347,16.4,221,7,5.77,69,1.2,468.567249,92444183,1.7,1.5,0.422,8.4
48.9,38,31,0,0,48.9,0,23.1620884134384,50,48.9,0,48.9,2.7,17.5793939580774,67656,0,0,0,0
79.9,78,0,9.31,491.055852,87,20,62.1,0,89,8.25,89,0.1,2775.89515,931.956938419789,0.3,0.3,0.886,18.9
69.9,29,3,3.1,400.1342971,94,0,47.8,4,93,7.61,94,0.3,2519.737387,5971535,2,1.9,0.628,12
